task_id hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
89	8a/1eafe5	13693	Alignment_Minimap2 (BC09)	COMPLETED	0	2021-10-27 03:10:43.420	4.3s	4.2s	70.9%	189.4 MB	435.7 MB	43.8 MB	1 MB
90	5f/36526b	14426	Report (BC09)	COMPLETED	0	2021-10-27 03:10:48.713	13.7s	13.7s	29.9%	234.8 MB	480.4 MB	61.9 MB	144.9 KB
91	76/33d86b	15526	Consensus (BC09)	COMPLETED	0	2021-10-27 03:11:03.430	3s	3s	101.0%	103.7 MB	153.8 MB	152.4 MB	74.8 MB
92	97/517982	15831	Classification_Kraken2_DB2 (BC09)	COMPLETED	0	2021-10-27 03:11:07.473	6m 38s	6m 37s	7.8%	33.8 GB	34.1 GB	34.2 GB	332.9 KB
67	61/589056	13512	Blast_Reference_Search (BC02)	COMPLETED	0	2021-10-27 03:10:42.414	1h 23m 16s	1h 23m 16s	12.0%	102.7 MB	153.3 MB	467.3 GB	47.4 MB
93	1f/bceaae	2615	Alignment_Minimap2 (BC02)	COMPLETED	0	2021-10-27 04:33:58.781	3.9s	3.9s	87.4%	474.6 MB	1.5 GB	50 MB	1.2 MB
94	7d/55c5e8	3429	Report (BC02)	COMPLETED	0	2021-10-27 04:34:02.706	12.7s	12.6s	35.7%	183.4 MB	550.9 MB	68.9 MB	134 KB
95	ed/941832	4581	Consensus (BC02)	COMPLETED	0	2021-10-27 04:34:15.367	3.4s	3.3s	95.0%	98.3 MB	149.3 MB	150.2 MB	78.6 MB
96	3f/ae45b5	4964	Classification_Kraken2_DB2 (BC02)	COMPLETED	0	2021-10-27 04:34:18.767	6m 32s	6m 32s	7.8%	33.8 GB	34.1 GB	34.2 GB	363.6 KB
72	75/da16aa	2582	Blast_Reference_Search (BC04)	COMPLETED	0	2021-10-27 04:33:58.751	1h 21m 44s	1h 21m 43s	12.1%	102.5 MB	153.3 MB	467.3 GB	36.2 MB
97	a1/2f1256	23555	Alignment_Minimap2 (BC04)	COMPLETED	0	2021-10-27 05:55:42.450	3.9s	3.9s	71.3%	140.6 MB	433.9 MB	38.3 MB	970.9 KB
98	b9/8a8858	23980	Report (BC04)	COMPLETED	0	2021-10-27 05:55:46.411	11.3s	11.3s	33.5%	289.7 MB	608.4 MB	57.5 MB	58.7 KB
99	1d/477562	24708	Consensus (BC04)	COMPLETED	0	2021-10-27 05:55:57.758	2.2s	2.2s	100.3%	100.1 MB	150.9 MB	151.6 MB	71.8 MB
101	6e/4d54c2	25084	Final_report	COMPLETED	0	2021-10-27 05:56:00.197	39.3s	39.3s	44.1%	2.5 GB	3 GB	79.9 MB	3.4 MB
100	60/e06eb5	24991	Classification_Kraken2_DB2 (BC04)	COMPLETED	0	2021-10-27 05:56:00.005	6m 26s	6m 26s	7.8%	34 GB	34.1 GB	34.2 GB	285.7 KB
